Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Function","Motor Type","Voltage - Rated","RPM","Torque - Rated (oz-in / mNm)","Power - Rated","Encoder Type","Size / Dimension","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Features","Gear Reduction Ratio","Torque - Max Momentary (oz-in / mNm)","Operating Temperature","URL"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4126/MFG_FIT0774.jpg","1738-FIT0774-ND","FIT0774","DFRobot","DFRobot","MINI VIBRATION MOTOR (10*2.7MM)","1,743","0.99","0","1","Bulk","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","-","-","-","-","Round - 0.390"" Dia (9.91mm)","-","-","-","Wire Leads","-","-","-","-","https://www.digikey.com/en/products/detail/dfrobot/FIT0774/14322639"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2226/1027_Spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/957/MFG_316040004.jpg","1597-1245-ND","316040004","Seeed Technology Co., Ltd","Seeed Technology Co., Ltd","VIBRATION ERM MTR 10000 RPM 3V","8,475","1.2","0","1","Bulk","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","10000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/316040004/5487673"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2234/1020-15-003-001_Spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/21/MFG_316040001.jpg","1597-1244-ND","316040001","Seeed Technology Co., Ltd","Seeed Technology Co., Ltd","VIBRATION ERM MOTOR 3V","5,071","1.2","0","1","Bulk","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","-","-","-","-","-","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/316040001/5487672"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2147/316040005_Web.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/21/MFG_316040005.jpg","1597-1246-ND","316040005","Seeed Technology Co., Ltd","Seeed Technology Co., Ltd","VIBRATION ERM MTR 9000 RPM 1.3V","3,085","1.2","0","1","Bulk","-","Active","DC Motor","Vibration, ERM (Haptic)","-","1.3VDC","9000 RPM","-","-","-","Round - 0.250"" Dia (6.35mm)","-","0.098"" (2.50mm)","-","PC Pin","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/316040005/5487674"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/1201_Web.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/1528_1201.JPG","1528-1177-ND","1201","Adafruit Industries LLC","Adafruit Industries LLC","VIBRATION ERM MTR 11000 RPM 5V","234","1.95","0","1","Bulk","-","Active","DC Motor","Vibration, ERM (Haptic)","-","5VDC","11000 RPM","-","-","-","-","-","-","-","Wire Leads","-","-","-","-","https://www.digikey.com/en/products/detail/adafruit-industries-llc/1201/5353637"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/spring-contacts/v-z4kh2b0470653n","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2893/MFG_Z4KH2B0470653N.jpg","1670-VZ4KH2B0470653N-ND","VZ4KH2B0470653N","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 11K RPM 1.55","4,080","2.66","0","1","Tray","Z4TH","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","11000 RPM","-","-","-","Rectangular - 0.234"" x 0.193"" (5.95mm x 4.90mm)","-","0.189"" (4.80mm)","-","Pressure Contact","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ4KH2B0470653N/12323577"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/smd/v-z43fm1b8230001l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2685/MFG_Z43FM1B8230001L.jpg","1670-VZ43FM1B8230001LTR-ND,1670-VZ43FM1B8230001LCT-ND,1670-VZ43FM1B8230001LDKR-ND","VZ43FM1B8230001L","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 12K RPM 0.6G","7,333","2.7","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Z43","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","12000 RPM","-","-","-","Rectangular - 0.173"" x 0.134"" (4.40mm x 3.40mm)","-","0.195"" (4.95mm)","-","Solder Tab","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ43FM1B8230001L/12323592"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1026b002f","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/987/MFG_C1026B002F.jpg","1670-VC1026B002F-ND","VC1026B002F","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 9K RPM 0.8G","5,051","2.89","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC1026B002F/6009911"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/through-hole/v-z4kc1b1051202","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1832/MFG_Z4KC1B1051202.jpg","1670-VZ4KC1B1051202-ND","VZ4KC1B1051202","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 14K RPM 3V 1.2","8,995","2.94","0","1","Bulk","Z4K","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","14000 RPM","-","-","-","Round - 0.177"" Dia (4.50mm)","-","0.146"" (3.70mm)","-","PC Pin","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ4KC1B1051202/6009917"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1030b028f","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2285/C1030B028F.jpg","1670-VC1030B028F-ND","VC1030B028F","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 10K RPM 0.9G","8,884","2.94","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","13500 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC1030B028F/7732327"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1034b018f","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/727/MFG_C1034B018F.jpg","1670-VC1034B018F-ND","VC1034B018F","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 10K RPM 1G","2,455","2.94","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","13500 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC1034B018F/6009914"
